COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,公司简称,A股代码,地区,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B股代码,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,证监会行业,COMPANY_CODE,公司全称,A股上市日期,REG_PROVINCE,STATE_CODE_B_DESC,INVESTOR_PHONE,IS_VOTE_DIFF,STATUS_A,LEGAL_REPRESENTATIVE,SECURITY_ABBR_B_FULL,SEC_TYPE,PROFIT_FLAG,SMALL_CLASS_NAME,STATE_CODE_A_DESC,OTHER_CODE,CSRC_GREAT_CODE,OFFICE_ZIP,SECURITY_ABBR_A_CN,SECURITY_30_DESC,E_MAIL_ADDRESS,证监会大类行业,FOREIGN_LISTING_ADDRESS,FOREIGN_LISTING_DESC,CHANGEABLE_BOND_CODE,REG_CITY,B股上市日期,OTHER_ABBR,NAME,英文全称,REG_ADDRESS,SECURITY_ABBR_B_CN,CHANGEABLE_BOND_ABBR,OFFICE_ADDRESS,TOTAL_DOMESTIC_VOL,A_LIMIT_VOL,TRADE_DATE,B_VOL,SPECIAL_VOL,TOTAL_UNLIMIT_VOL,A_UNLIMIT_VOL,CDR_VOL,市场类型
LJZ,1,1,陆家嘴,600663,上海市,-,500,陆家嘴,上海市,"Shanghai Lujiazui Finance & Trade Zone Development Co.,Ltd.",陆家嘴,2,900932,4,19930628,K,   D  F  N          ,房地产业,600663,上海陆家嘴金融贸易区开发股份有限公司,19930628,310000,上市,021-33848801,N,   D  F  N          ,徐而进                        ,陆家B股,主板A,Y,-,上市,-,70,200126,陆家嘴,否,invest@ljz.com.cn,房地产业,-,否,-,310000,19941122,-,王辉,"Shanghai Lujiazui Finance & Trade Zone Development Co.,Ltd.",上海市中国(上海)自由贸易试验区浦东大道981号,陆家Ｂ股,-,上海市浦东新区东育路227弄6号前滩世贸中心（二期）D栋21楼,503515.37,77873.40,20250902,110073.60,-,425641.97,315568.37,0.00,主板A股
HPGC,1,1,哈药股份,600664,黑龙江省,-,501,哈药股份,黑龙江省,"Harbin Pharmaceutical Group Co.,Ltd.",哈药股份,2,-,4,19930629,C,   D  F  N          ,制造业,600664,哈药集团股份有限公司,19930629,230000,-,0451－51870077,N,   D  F  N          ,芦传有                        ,-,主板A,Y,-,上市,-,27,150500,哈药股份,否,master@hayao.com,医药制造业,-,否,-,230100,-,-,孟晓东,"Harbin Pharmaceutical Group Co.,Ltd.",黑龙江省哈尔滨市利民开发区利民西四大街68号,-,-,哈尔滨市道里区群力大道7号,251850.99,0.00,20250902,0.00,-,251850.99,251850.99,0.00,主板A股
TANDE,1,1,天地源,600665,陕西省,-,502,天地源,陕西省,"Tande Co.,Ltd.",天地源,2,-,4,19930709,K,   D  F  N          ,房地产业,600665,天地源股份有限公司,19930709,610000,-,029-88326035,N,   D  F  N          ,赵冀                          ,-,主板A,Y,-,上市,-,70,710075,天地源,否,tande@tande.cn,房地产业,-,否,-,610100,-,-,原学功,"Tande Co.,Ltd.",陕西省西安市高新区丈八街办科技路33号高新国际商务中心数码大厦12701室,-,-,西安高新技术产业开发区科技路33号高新国际商务中心数码大厦34层,86412.25,0.00,20250902,0.00,-,86412.25,86412.25,0.00,主板A股
AURORA,1,1,奥瑞德,600666,黑龙江省,-,503,奥瑞德,黑龙江省,"Aurora Optoelectronics Co., Ltd.",奥瑞德,2,-,4,19930712,C,   D  F  N          ,制造业,600666,奥瑞德光电股份有限公司,19930712,230000,-,0451-51076628,N,   D  F  N          ,朱三高                        ,-,主板A,Y,-,上市,-,30,150000,奥瑞德,否,zhengquan@aurora-sapphire.cn,非金属矿物制品业,-,否,-,230100,-,-,梁影,"Aurora Optoelectronics Co., Ltd.",黑龙江省哈尔滨市松北区智谷大街288号深圳(哈尔滨)产业园区科创总部3号楼A区2栋5层,-,-,哈尔滨市松北区智谷大街288号深圳(哈尔滨)产业园区科创总部3号楼A区2栋5层,276351.28,34375.99,20250902,0.00,-,241975.29,241975.29,0.00,主板A股
TJ,1,1,太极实业,600667,江苏省,-,504,太极实业,江苏省,Wuxi Taiji Industry Limited Corporation,太极实业,2,-,4,19930728,E,   D  F  N          ,建筑业,600667,无锡市太极实业股份有限公司,19930728,320000,-,0510-85419120,N,   D  F  N          ,方涛                          ,-,主板A,Y,-,上市,-,48,214024,太极实业,否,tjsy600667@163.com,土木工程建筑业,-,否,-,320200,-,-,邓成文,Wuxi Taiji Industry Limited Corporation,江苏省无锡市梁溪区兴源北路401号21层,-,-,无锡市梁溪区兴源北路401号26楼,210619.02,0.00,20250902,0.00,-,210619.02,210619.02,0.00,主板A股
ZJJF,1,1,尖峰集团,600668,浙江省,-,505,尖峰集团,浙江省,"Zhe Jiang Jian Feng Group Co.,Ltd",尖峰集团,2,-,4,19930728,C,   D  F  N          ,制造业,600668,浙江尖峰集团股份有限公司,19930728,330000,-,0579-82320582,N,   D  F  N          ,蒋晓萌                        ,-,主板A,Y,-,上市,-,30,321000,尖峰集团,否,jf@jianfeng.com.cn,非金属矿物制品业,-,否,-,330700,-,-,朱坚卫,"Zhe Jiang Jian Feng Group Co.,Ltd",浙江省金华市婺江东路88号,-,-,浙江省金华市婺江东路88号,41290.06,0.00,20250902,0.00,-,41290.06,41290.06,0.00,主板A股
TMSP,1,1,天目药业,600671,浙江省,-,506,天目药业,浙江省,"Hangzhou Tianmushan Pharmaceutical Enterprise Co.,Ltd",天目药业,2,-,4,19930823,C,   D  F  N          ,制造业,600671,杭州天目山药业股份有限公司,19930823,330000,-,0571-63722229,N,   D  F  N          ,刘加勇                        ,-,主板A,Y,-,上市,-,27,311300,天目药业,否,tianmuyaoye@126.com,医药制造业,-,否,-,330100,-,-,党国峻,"Hangzhou Tianmushan Pharmaceutical Enterprise Co.,Ltd",浙江省杭州市临安区锦南街道上杨路18号,-,-,浙江省杭州市萧山区市心北路博亚时代中心1803,12177.89,5.84,20250902,0.00,-,12172.05,12172.05,0.00,主板A股
"GD HEC CO.,LTD",1,1,东阳光,600673,广东省,-,507,东阳光,广东省,"Guangdong Hec Technology Holding Co., Ltd",东阳光,2,-,4,19930917,S,   D  F  N          ,综合,600673,广东东阳光科技控股股份有限公司,19930917,440000,-,0769-85370225,N,   D  F  N          ,张红伟                        ,-,主板A,Y,-,上市,-,91,523871,东阳光,否,yzg600673@126.com,综合,-,否,-,440200,-,-,刘耿豪,"Guangdong Hec Technology Holding Co., Ltd",广东省韶关市乳源瑶族自治县乳城镇侯公渡,-,-,广东东莞市长安镇上沙村第五工业区,300955.51,799.71,20250902,0.00,-,300155.79,300155.79,0.00,主板A股
SCTE,1,1,川投能源,600674,四川省,-,508,川投能源,四川省,"SICHUAN CHUANTOU ENERGY CO.,LTD.",川投能源,2,-,4,19930924,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600674,四川川投能源股份有限公司,19930924,510000,-,028-86098649,N,   D  F  N          ,吴晓曦                        ,-,主板A,Y,-,上市,"190016,110061",44,610041,川投能源,是,zqb@ctny.com.cn,电力、热力生产和供应业,-,否,-,510100,-,"川投转股,川投转债",鲁晋川,"SICHUAN CHUANTOU ENERGY CO.,LTD.",四川省成都市武侯区临江西路1号,-,-,四川省成都市武侯区临江西路1号,487460.68,0.00,20250902,0.00,-,487460.68,487460.68,0.00,主板A股
CECL,1,1,中华企业,600675,上海市,-,509,中华企业,上海市,China Enterprise Company Limited,中华企业,2,-,4,19930924,K,   D  F  N          ,房地产业,600675,中华企业股份有限公司,19930924,310000,-,20772222,N,   D  F  N          ,李钟                          ,-,主板A,Y,-,上市,-,70,200125,中华企业,否,zhangdm@cecl.com.cn,房地产业,-,否,-,310000,-,-,顾昕,China Enterprise Company Limited,上海市静安区华山路2号,-,-,上海市浦东新区浦明路1388号6楼,604613.53,0.00,20250902,0.00,-,604613.53,604613.53,0.00,主板A股
SJY.,1,1,交运股份,600676,上海市,-,510,交运股份,上海市,"Shanghai Jiao Yun Group Co., Ltd.",交运股份,2,-,4,19930928,G,   D  F  N          ,交通运输、仓储和邮政业,600676,上海交运集团股份有限公司,19930928,310000,-,62116009、63176742,N,   D  F  N          ,陈晓龙                        ,-,主板A,Y,-,上市,-,54,200070,交运股份,否,jygf@sh163.net,道路运输业,-,否,-,310000,-,-,刘红威,"Shanghai Jiao Yun Group Co., Ltd.",上海市浦东新区曹路工业园区民冬路239号,-,-,上海市恒丰路288号,102849.29,0.00,20250902,0.00,-,102849.29,102849.29,0.00,主板A股
SCGS,1,1,四川金顶,600678,四川省,-,511,四川金顶,四川省,"SICHUAN GOLDEN SUMMIT (GROUP) JOINT-STOCK CO., LTD.",四川金顶,2,-,4,19931008,C,   D  F  N          ,制造业,600678,四川金顶(集团)股份有限公司,19931008,510000,-,0833-6179595,N,   D  F  N          ,熊记锋                        ,-,主板A,Y,-,上市,-,30,614000,四川金顶,否,scjd600678@scjd.cn,非金属矿物制品业,-,否,-,511100,-,-,杨业,"SICHUAN GOLDEN SUMMIT (GROUP) JOINT-STOCK CO., LTD.",四川省乐山市峨眉山市九里镇新农村一组166号,-,-,四川省峨眉山市乐都镇新农一组55号,34899.00,0.00,20250902,0.00,-,34899.00,34899.00,0.00,主板A股
SPEG,1,1,上海凤凰,600679,上海市,-,512,上海凤凰,上海市,"Shanghai Phoenix Enterprise (Group) Co., Ltd.",上海凤凰,2,900916,4,19931008,C,   D  F  N          ,制造业,600679,上海凤凰企业(集团)股份有限公司,19931008,310000,上市,021-32795679,N,   D  F  N          ,胡伟                          ,凤凰B股,主板A,Y,-,上市,-,37,201103,上海凤凰,否,master@phoenix.com.cn,铁路、船舶、航空航天和其他运输设备制造业,-,否,-,310000,19931119,-,朱鹏程,"Shanghai Phoenix Enterprise (Group) Co., Ltd.",上海市金山区金山工业区开乐大街158号6号楼,凤凰B股,-,上海市长宁区福泉北路518号6座4楼,51529.43,0.00,20250902,17160.00,-,51529.43,34369.43,0.00,主板A股
BESTSUN ENERGY,1,1,百川能源,600681,湖北省,-,513,百川能源,湖北省,"Bestsun Energy Co., Ltd.",百川能源,2,-,4,19931018,D,   D  F  N          ,电力、热力、燃气及水生产和供应业,600681,百川能源股份有限公司,19931018,420000,-,010-85670030,N,   D  F  N          ,王东海                        ,-,主板A,Y,-,上市,-,45,100073,百川能源,否,baichuandsh@163.com,燃气生产和供应业,-,否,-,420100,-,-,李思萌,"Bestsun Energy Co., Ltd.",湖北省武汉市汉阳区阳新路特1号,-,-,北京市丰台区金泽西路2号院丽泽平安金融中心A座2301,134085.48,104.60,20250902,0.00,-,133980.88,133980.88,0.00,主板A股
NJXB,1,1,南京新百,600682,江苏省,-,514,南京新百,江苏省,"NANJING XINJIEKOU DEPARTMENT STORE CO.,LTD.",南京新百,2,-,4,19931018,C,   D  F  N          ,制造业,600682,南京新街口百货商店股份有限公司,19931018,320000,-,025-84717643,N,   D  F  N          ,蔡邕                          ,-,主板A,Y,-,上市,-,27,210005,南京新百,否,IRM@njxb.com,医药制造业,-,否,-,320100,-,-,杨宇鑫,"NANJING XINJIEKOU DEPARTMENT STORE CO.,LTD.",江苏省南京市中山南路1号,-,-,南京市中山南路1号南京中心12楼董事会办公室,134613.22,18107.19,20250902,0.00,-,116506.03,116506.03,0.00,主板A股
MTL,1,1,京投发展,600683,浙江省,-,515,京投发展,浙江省,Metro Land Corporation Ltd.,京投发展,2,-,4,19931025,K,   D  F  N          ,房地产业,600683,京投发展股份有限公司,19931025,330000,-,010-65636620,N,   D  F  N          ,孔令洋                        ,-,主板A,Y,-,上市,-,70,100022,京投发展,否,ir@600683.com,房地产业,-,否,-,330200,-,-,张雨来,Metro Land Corporation Ltd.,浙江省宁波市海曙中山东路238号,-,-,北京市朝阳区建国门外大街2号银泰中心C座17层,74077.76,0.00,20250902,0.00,-,74077.76,74077.76,0.00,主板A股
GZPR,1,1,珠江股份,600684,广东省,-,516,珠江股份,广东省,"GUANGZHOU PEARL RIVER DEVELOPMENT GROUP CO.,LTD.",珠江股份,2,-,4,19931028,K,   D  F  N          ,房地产业,600684,广州珠江发展集团股份有限公司,19931028,440000,-,020-83752439,N,   D  F  N          ,卢志瑜                        ,-,主板A,Y,-,上市,-,70,510095,珠江股份,否,ir@gzzjsy.com,房地产业,-,否,-,440100,-,-,陆伟华,"GUANGZHOU PEARL RIVER DEVELOPMENT GROUP CO.,LTD.","广东省广州市越秀区环市东路371-375号世界贸易中心大厦南塔11楼S1101-05,S1118-24房",-,-,广州市越秀区环市东路371-375号世界贸易中心大厦南塔11楼,85346.07,0.00,20250902,0.00,-,85346.07,85346.07,0.00,主板A股
COMEC,1,1,中船防务,600685,广东省,-,517,中船防务,广东省,CSSC Offshore & Marine Engineering (Group) Company Limited,中船防务,2,-,4,19931028,C,   D  F  N          ,制造业,600685,中船海洋与防务装备股份有限公司,19931028,440000,-,020-81893807,N,   D  F  N          ,向辉明                        ,-,主板A,Y,-,上市,-,37,510250,中船防务,否,comec@comec.cssc.net.cn,铁路、船舶、航空航天和其他运输设备制造业,香港,是,-,440100,-,-,李志东,CSSC Offshore & Marine Engineering (Group) Company Limited,广东省广州市海珠区革新路137号船舶大厦15层,-,-,广州市海珠区革新路137号船舶大厦15楼,82143.52,0.00,20250902,0.00,-,82143.52,82143.52,0.00,主板A股
KLM,1,1,金龙汽车,600686,福建省,-,518,金龙汽车,福建省,"Xiamen King Long Motor Group Co.,Ltd.",金龙汽车,2,-,4,19931108,C,   D  F  N          ,制造业,600686,厦门金龙汽车集团股份有限公司,19931108,350000,-,0592-2969815,N,   D  F  N          ,陈锋                          ,-,主板A,Y,-,上市,-,36,361006,金龙汽车,否,600686@xmklm.com.cn,汽车制造业,-,否,-,350200,-,-,季晓健,"Xiamen King Long Motor Group Co.,Ltd.",福建省厦门市湖里区湖里大道69号,-,-,厦门市湖里区湖里大道69号,71704.74,0.00,20250902,0.00,-,71704.74,71704.74,0.00,主板A股
SPC,1,1,上海石化,600688,上海市,-,519,上海石化,上海市,Sinopec Shanghai Petrochemical Company Limited,上海石化,2,-,4,19931108,C,   D  F  N          ,制造业,600688,中国石化上海石油化工股份有限公司,19931108,310000,-,021-57943143,N,   D  F  N          ,郭晓军                        ,-,主板A,Y,-,上市,-,25,200540,上海石化,否,spc@spc.com.cn,石油、煤炭及其他燃料加工业,香港、纽约,是,-,310000,-,-,刘刚,Sinopec Shanghai Petrochemical Company Limited,上海市金山区金一路48号,-,-,上海市金山区金一路48号,732881.35,0.00,20250902,0.00,-,732881.35,732881.35,0.00,主板A股
SMEG,1,1,上海三毛,600689,上海市,-,520,上海三毛,上海市,"Shanghai Sanmao Enterprise(Group) Co., Ltd.",上海三毛,2,900922,4,19931108,F,   D  F  N          ,批发和零售业,600689,上海三毛企业(集团)股份有限公司,19931108,310000,上市,021-63059496,N,   D  F  N          ,吴重晖                        ,三毛B股,主板A,Y,-,上市,-,51,200023,上海三毛,否,sanmaogroup@600689.com,批发业,-,否,-,310000,19931231,-,何贵云,"Shanghai Sanmao Enterprise(Group) Co., Ltd.","上海市浦东新区自由贸易试验区浦东大道1476号,1482号1401-1415室",三毛B股,-,上海市黄浦区斜土路791号C幢,20099.13,0.00,20250902,4878.72,-,20099.13,15220.41,0.00,主板A股
HAIER SMART HOME,1,1,海尔智家,600690,山东省,-,521,海尔智家,山东省,"Haier Smart Home Co., Ltd.",海尔智家,2,-,4,19931119,C,   D  F  N          ,制造业,600690,海尔智家股份有限公司,19931119,370000,-,0532-88931670,N,   D  F  N          ,李华刚                        ,-,主板A,Y,-,上市,190049,38,266101,海尔智家,是,finance@haier.com,电气机械和器材制造业,-,否,-,370200,-,海尔转股,刘晓梅,"Haier Smart Home Co., Ltd.",山东省青岛市崂山区海尔工业园内,-,-,青岛市崂山区海尔信息产业园董事局大楼513B,625450.11,0.00,20250902,0.00,-,625450.11,625450.11,0.00,主板A股
LACT,1,1,阳煤化工,600691,山西省,-,522,阳煤化工,山西省,"SHANXI LU'AN CHEMICAL TECHNOLOGY CO.,LTD.",阳煤化工,2,-,4,19931119,C,   D  F  N          ,制造业,600691,山西潞安化工科技股份有限公司,19931119,140000,-,0351-7255821,N,   D  F  N          ,马军祥                        ,-,主板A,Y,-,上市,-,26,030006,阳煤化工,否,ymhgzqb@163.com,化学原料和化学制品制造业,-,否,-,140300,-,-,高峰杰,"SHANXI LU'AN CHEMICAL TECHNOLOGY CO.,LTD.",山西省阳泉市矿区桃北西街2号,-,-,山西省太原市迎泽区双塔西街72号潞安戴斯酒店,237598.20,39.60,20250902,0.00,-,237558.60,237558.60,0.00,主板A股
YT,1,1,亚通股份,600692,上海市,-,523,亚通股份,上海市,"Shanghai Ya Tong Co.,Ltd.",亚通股份,2,-,4,19931119,K,   D  F  N          ,房地产业,600692,上海亚通股份有限公司,19931119,310000,-,021-69695918,N,   D  F  N          ,施俊                          ,-,主板A,Y,-,上市,-,70,202150,亚通股份,否,leibnize@126.com,房地产业,-,否,-,310000,-,-,雷煊,"Shanghai Ya Tong Co.,Ltd.",上海市崇明区城桥镇八一路1号,-,-,上海市崇明区绿海路780弄1号,35176.41,9675.35,20250902,0.00,-,25501.05,25501.05,0.00,主板A股
FJDB,1,1,东百集团,600693,福建省,-,524,东百集团,福建省,"FUJIAN DONGBAI GROUP CO.,LTD.",东百集团,2,-,4,19931122,F,   D  F  N          ,批发和零售业,600693,福建东百集团股份有限公司,19931122,350000,-,0591-83815133,N,   D  F  N          ,施文义                        ,-,主板A,Y,-,上市,-,52,350001,东百集团,否,db600693@dongbai.com,零售业,-,否,-,350100,-,-,刘海芬,"FUJIAN DONGBAI GROUP CO.,LTD.",福建省福州市八一七北路84号-185号(除178-1号),-,-,福建省福州市八一七北路88号东百大厦24层,86984.62,89.35,20250902,0.00,-,86895.28,86895.28,0.00,主板A股
DS,1,1,大商股份,600694,辽宁省,-,525,大商股份,辽宁省,"Dashang Co.,Ltd.",大商股份,2,-,4,19931122,F,   D  F  N          ,批发和零售业,600694,大商股份有限公司,19931122,210000,-,0411-83643215,N,   D  F  N          ,陈德力                        ,-,主板A,Y,-,上市,-,52,116001,大商股份,否,dashanggufen@126.com,零售业,-,否,-,210200,-,-,姚磊,"Dashang Co.,Ltd.",辽宁省大连市中山区青三街1号,-,-,辽宁省大连市中山区青三街1号,34776.78,341.00,20250902,0.00,-,34435.78,34435.78,0.00,主板A股
SHANGHAIGUIJIU,1,1,*ST岩石,600696,上海市,-,526,*ST岩石,上海市,"Shanghai Guijiu Co., Ltd",*ST岩石,7,-,8,19931206,C,   S  F  N          ,制造业,600696,上海贵酒股份有限公司,19931206,310000,-,0851-22276618,N,   S  F  N          ,陈琪                          ,-,主板A,Y,-,风险警示,-,15,200122,*ST岩石,否,IRM600696@163.com,酒、饮料和精制茶制造业,-,否,-,310000,-,-,韩啸,"Shanghai Guijiu Co., Ltd",上海市奉贤区南桥镇沪发路65弄1号,-,-,上海市浦东新区松林路357号26层,33446.94,0.00,20250902,0.00,-,33446.94,33446.94,0.00,主板A股
CCEG,1,1,欧亚集团,600697,吉林省,-,527,欧亚集团,吉林省,"Chang Chun Eurasia Group Co.,Ltd",欧亚集团,2,-,4,19931206,F,   D  F  N          ,批发和零售业,600697,长春欧亚集团股份有限公司,19931206,220000,-,0431-87666905,N,   D  F  N          ,曹和平                        ,-,主板A,Y,-,上市,-,52,130012,欧亚集团,否,ccoyjt@sina.com,零售业,-,否,-,220100,-,-,苏焱,"Chang Chun Eurasia Group Co.,Ltd",吉林省长春市朝阳区工农大路1128号,-,-,长春市飞跃路2686号,15908.81,371.21,20250902,0.00,-,15537.60,15537.60,0.00,主板A股
HNTY,1,1,湖南天雁,600698,湖南省,-,528,湖南天雁,湖南省,"Hunan Tyen Machinery Co., Ltd",湖南天雁,2,900946,4,19931206,C,   D  F  N          ,制造业,600698,湖南天雁机械股份有限公司,19931206,430000,上市,0734-8532012,N,   D  F  N          ,杨宝全                        ,天雁B股,主板A,Y,-,上市,-,36,421005,湖南天雁,否,tyen5617@163.com,汽车制造业,-,否,-,430400,19970617,-,叶芬,"Hunan Tyen Machinery Co., Ltd",湖南省衡阳市石鼓区合江套路195号,天雁B股,-,湖南省衡阳市石鼓区合江套路195号,106863.77,829.25,20250902,23000.00,-,106034.53,83034.53,0.00,主板A股
NJEC,1,1,均胜电子,600699,浙江省,-,529,均胜电子,浙江省,Ningbo Joyson Electronic Corp.,均胜电子,2,-,4,19931206,C,   D  F  N          ,制造业,600699,宁波均胜电子股份有限公司,19931206,330000,-,0574-87907001,N,   D  F  N          ,王剑峰                        ,-,主板A,Y,-,上市,-,39,315040,均胜电子,否,600699@joyson.com,计算机、通信和其他电子设备制造业,-,否,-,330200,-,-,俞朝辉,Ningbo Joyson Electronic Corp.,浙江省宁波市高新区清逸路99号,-,-,浙江省宁波市高新区清逸路99号,139567.06,4061.69,20250902,0.00,-,135505.36,135505.36,0.00,主板A股
SHEDE SPIRITS,1,1,舍得酒业,600702,四川省,-,530,舍得酒业,四川省,"Shede Spirits Co., Ltd.",舍得酒业,2,-,4,19960524,C,   D  F  N          ,制造业,600702,舍得酒业股份有限公司,19960524,510000,-,0825-6618269,N,   D  F  N          ,蒲吉洲                        ,-,主板A,Y,-,上市,-,15,629209,舍得酒业,否,tzgl@tuopai.cn,酒、饮料和精制茶制造业,-,否,-,510900,-,-,张伟,"Shede Spirits Co., Ltd.",四川省遂宁市射洪县沱牌镇沱牌大道999号,-,-,四川省射洪市沱牌镇沱牌大道999号,33275.89,14.00,20250902,0.00,-,33261.89,33261.89,0.00,主板A股
SANAN,1,1,三安光电,600703,湖北省,-,531,三安光电,湖北省,"Sanan Optoelectronics Co.,Ltd",三安光电,2,-,4,19960528,C,   D  F  N          ,制造业,600703,三安光电股份有限公司,19960528,420000,-,0592-5903387,N,   D  F  N          ,林志强                        ,-,主板A,Y,-,上市,-,39,361009,三安光电,否,600703@sanan-e.com,计算机、通信和其他电子设备制造业,-,否,-,421000,-,-,李雪炭,"Sanan Optoelectronics Co.,Ltd",湖北省荆州市荆州开发区东方大道131号,-,-,厦门市思明区吕岭路1721-1725号,498901.87,0.00,20250902,0.00,-,498901.87,498901.87,0.00,主板A股
WZ GROUP,1,1,物产中大,600704,浙江省,-,532,物产中大,浙江省,"Wuchan Zhongda Group Co.,Ltd.",物产中大,2,-,4,19960606,F,   D  F  N          ,批发和零售业,600704,物产中大集团股份有限公司,19960606,330000,-,0571-85777029,N,   D  F  N          ,陈新                          ,-,主板A,Y,-,上市,-,51,310006,物产中大,否,stock@wzgruop.cn,批发业,-,否,-,330100,-,-,殷畅,"Wuchan Zhongda Group Co.,Ltd.",浙江省杭州市拱墅区环城西路56号,-,-,杭州市环城西路56号,517117.99,0.00,20250902,0.00,-,517117.99,517117.99,0.00,主板A股
QJCT,1,1,曲江文旅,600706,陕西省,-,533,曲江文旅,陕西省,"XI'AN QUJIANG CULTURAL TOURISM CO.,LTD.",曲江文旅,2,-,4,19960516,N,   D  F  N          ,水利、环境和公共设施管理业,600706,西安曲江文化旅游股份有限公司,19960516,610000,-,029-89129355,N,   D  F  N          ,庄莹                          ,-,主板A,Y,-,上市,-,78,710061,曲江文旅,否,cadsh@126.com,公共设施管理业,-,否,-,610100,-,-,庄莹,"XI'AN QUJIANG CULTURAL TOURISM CO.,LTD.",陕西省西安市西安曲江新区(雁塔南路)曲江文化大厦7-8层,-,-,陕西省西安市雁塔南路292号曲江文化大厦7-8层,25505.98,102.96,20250902,0.00,-,25403.02,25403.02,0.00,主板A股
CDD,1,1,彩虹股份,600707,陕西省,-,534,彩虹股份,陕西省,"CAIHONG DISPLAY DEVICES CO.,LTD.",彩虹股份,2,-,4,19960520,C,   D  F  N          ,制造业,600707,彩虹显示器件股份有限公司,19960520,610000,-,029-33132781,N,   D  F  N          ,李淼                          ,-,主板A,Y,-,上市,-,39,712021,彩虹股份,否,gfstock@cecchco.com,计算机、通信和其他电子设备制造业,-,否,-,610400,-,-,郑涛,"CAIHONG DISPLAY DEVICES CO.,LTD.",陕西省咸阳市高新区高新一路创业大厦,-,-,陕西省咸阳市秦都区高新技术产业开发区星火大道9号,358838.97,72.00,20250902,0.00,-,358766.97,358766.97,0.00,主板A股
BRIGHT REAL ESTATE,1,1,光明地产,600708,上海市,-,535,光明地产,上海市,"Bright Real Estate Group Co.,Limited",光明地产,2,-,4,19960606,K,   D  F  N          ,房地产业,600708,光明房地产集团股份有限公司,19960606,310000,-,021-32211128,N,   D  F  N          ,陆吉敏                        ,-,主板A,Y,-,上市,-,70,200070,光明地产,否,tzzrx@bre600708.com,房地产业,-,否,-,310000,-,-,苏朋程,"Bright Real Estate Group Co.,Limited",上海市中国(上海)自由贸易试验区临港新片区丽正路1628号9幢2层A-75室,-,-,上海市静安区西藏北路199号,222863.67,335.90,20250902,0.00,-,222527.78,222527.78,0.00,主板A股
SUMEC,1,1,苏美达,600710,江苏省,-,536,苏美达,江苏省,Sumec Corporation Limited,苏美达,2,-,4,19960701,F,   D  F  N          ,批发和零售业,600710,苏美达股份有限公司,19960701,320000,-,025-84531968,N,   D  F  N          ,杨永清                        ,-,主板A,Y,-,上市,-,51,210016,苏美达,否,tzz@sumec.com.cn,批发业,-,否,-,320100,-,-,张信,Sumec Corporation Limited,江苏省南京市玄武区长江路198号,-,-,江苏省南京市长江路198号,130674.94,0.00,20250902,0.00,-,130674.94,130674.94,0.00,主板A股
CTM,1,1,盛屯矿业,600711,福建省,-,537,盛屯矿业,福建省,"Chengtun Mining Group Co., Ltd",盛屯矿业,2,-,4,19960531,B,   D  F  N          ,采矿业,600711,盛屯矿业集团股份有限公司,19960531,350000,-,0592-5891697,N,   D  F  N          ,熊波                          ,-,主板A,Y,-,上市,110066,09,361012,盛屯矿业,否,600711@600711.com,有色金属矿采选业,-,否,-,350200,-,盛屯转债,林举,"Chengtun Mining Group Co., Ltd",福建省厦门市翔安区莲亭路836号3#楼101号A单元,-,-,厦门市思明区展鸿路81号波特曼财富中心A座52层,309061.16,0.00,20250902,0.00,-,309061.16,309061.16,0.00,主板A股
N.N.STORE,1,1,南宁百货,600712,广西壮族自治区,-,538,南宁百货,广西壮族自治区,"Nanning Department Store Co.,Ltd.",南宁百货,2,-,4,19960626,F,   D  F  N          ,批发和零售业,600712,南宁百货大楼股份有限公司,19960626,450000,-,0771-2098826,N,   D  F  N          ,覃耀杯                        ,-,主板A,Y,-,上市,-,52,530012,南宁百货,否,dshoffice@nnbh.cn,零售业,-,否,-,450100,-,-,周宁星,"Nanning Department Store Co.,Ltd.","广西壮族自治区南宁市朝阳路39-41,45号",-,-,广西南宁市朝阳路39-41，45号,54465.54,600.70,20250902,0.00,-,53864.84,53864.84,0.00,主板A股
NPC,1,1,南京医药,600713,江苏省,-,539,南京医药,江苏省,Nanjing Pharmaceutical Company Limited,南京医药,2,-,4,19960701,F,   D  F  N          ,批发和零售业,600713,南京医药股份有限公司,19960701,320000,-,025-84552680,N,   D  F  N          ,周建军                        ,-,主板A,Y,-,上市,110098,51,210012,南京医药,否,600713@njyy.com,批发业,-,否,110098,320100,-,南药转债,王冠,Nanjing Pharmaceutical Company Limited,江苏省南京市雨花台区安德门大街55号2幢,-,南药转债,南京市雨花台区安德门大街55号2幢,130892.87,2202.48,20250902,0.00,-,128690.39,128690.39,0.00,主板A股
